transaction_date,account_id,amount,currency,description,category
2024-01-04,ACCT-SG-035,-349817.22,SGD,OTHER - 2024-01,OTHER
2024-01-04,ACCT-US-008,-345553.81,USD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-04,ACCT-DE-013,-339928.46,EUR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-05,ACCT-GB-033,394144.28,GBP,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-05,ACCT-SG-035,-395376.1,SGD,SALARY - 2024-01,SALARY
2024-01-05,ACCT-JP-005,9934424.0,JPY,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-05,ACCT-AU-038,-133023.88,AUD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-05,ACCT-BR-022,-1924655.51,BRL,SALARY - 2024-01,SALARY
2024-01-05,ACCT-CN-042,-276503.69,CNY,OTHER - 2024-01,OTHER
2024-01-05,ACCT-IN-027,-19492419.22,INR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-05,ACCT-JP-004,33202685.42,JPY,INVESTMENT - 2024-01,INVESTMENT
2024-01-05,ACCT-CN-041,-52074.86,CNY,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-05,ACCT-CN-042,-134820.78,CNY,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-05,ACCT-IN-026,-15482045.8,INR,SALARY - 2024-01,SALARY
2024-01-05,ACCT-US-006,406577.99,USD,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-05,ACCT-IN-027,-16412211.42,INR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-05,ACCT-AU-037,-481348.97,AUD,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-05,ACCT-GB-034,220893.71,GBP,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-05,ACCT-BR-020,1950259.82,BRL,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-05,ACCT-AU-038,427960.75,AUD,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-05,ACCT-IN-028,-12592674.62,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-05,ACCT-MX-032,-1988140.53,MXN,RENT - 2024-01,RENT
2024-01-05,ACCT-JP-005,-3027344.74,JPY,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-05,ACCT-CN-042,-276350.43,CNY,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-05,ACCT-GB-033,63303.18,GBP,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-05,ACCT-BR-022,-1008065.65,BRL,TAX - 2024-01,TAX
2024-01-05,ACCT-GB-033,-313402.35,GBP,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-06,ACCT-JP-005,-12638289.91,JPY,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-06,ACCT-US-007,-447943.93,USD,SALARY - 2024-01,SALARY
2024-01-06,ACCT-IN-027,-3016063.49,INR,RENT - 2024-01,RENT
2024-01-06,ACCT-IN-027,-6953581.65,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-06,ACCT-US-008,-139067.77,USD,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-06,ACCT-IN-028,-4714635.98,INR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-06,ACCT-MX-031,-2296739.19,MXN,SALARY - 2024-01,SALARY
2024-01-06,ACCT-JP-005,-41004018.4,JPY,SALARY - 2024-01,SALARY
2024-01-06,ACCT-IN-024,6136164.25,INR,INVESTMENT - 2024-01,INVESTMENT
2024-01-06,ACCT-CN-040,45984.31,CNY,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-06,ACCT-DE-015,-198576.56,EUR,TAX - 2024-01,TAX
2024-01-06,ACCT-US-010,418099.35,USD,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-06,ACCT-US-006,-998011.0,USD,SALARY - 2024-01,SALARY
2024-01-06,ACCT-AU-037,-342073.74,AUD,SALARY - 2024-01,SALARY
2024-01-06,ACCT-DE-018,-90717.19,EUR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-06,ACCT-MX-031,-2550721.41,MXN,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-06,ACCT-US-009,-493659.96,USD,SALARY - 2024-01,SALARY
2024-01-06,ACCT-BR-020,-1346085.86,BRL,SALARY - 2024-01,SALARY
2024-01-06,ACCT-BR-023,-950359.69,BRL,TAX - 2024-01,TAX
2024-01-06,ACCT-AU-038,-397866.42,AUD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-06,ACCT-IN-025,-19949352.79,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-06,ACCT-US-009,-478152.94,USD,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-06,ACCT-CN-042,-257381.78,CNY,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-06,ACCT-BR-023,-1040469.87,BRL,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-06,ACCT-US-012,-234540.95,USD,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-06,ACCT-IN-024,10266593.98,INR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-06,ACCT-IN-028,-1095985.74,INR,SALARY - 2024-01,SALARY
2024-01-06,ACCT-AU-037,218905.42,AUD,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-06,ACCT-IN-028,-1189894.7,INR,SALARY - 2024-01,SALARY
2024-01-06,ACCT-IN-028,-5598291.55,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-06,ACCT-BR-023,-855131.66,BRL,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-06,ACCT-IN-025,-10507274.32,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-07,ACCT-US-008,195856.41,USD,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-07,ACCT-BR-020,144247.67,BRL,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-07,ACCT-DE-015,-101462.09,EUR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-07,ACCT-BR-020,-1004418.1,BRL,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-07,ACCT-JP-005,-2931067.23,JPY,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-07,ACCT-IN-027,-15593083.89,INR,OTHER - 2024-01,OTHER
2024-01-07,ACCT-AU-038,-431696.4,AUD,TAX - 2024-01,TAX
2024-01-07,ACCT-DE-018,365497.8,EUR,INVESTMENT - 2024-01,INVESTMENT
2024-01-07,ACCT-IN-025,-15511415.11,INR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-07,ACCT-CN-042,-275089.43,CNY,OTHER - 2024-01,OTHER
2024-01-07,ACCT-CN-041,-230868.79,CNY,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-07,ACCT-JP-004,-26709899.08,JPY,SALARY - 2024-01,SALARY
2024-01-07,ACCT-IN-025,-1573040.42,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-07,ACCT-BR-023,-424589.48,BRL,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-07,ACCT-IN-025,-3492104.28,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-07,ACCT-DE-017,299379.67,EUR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-07,ACCT-CN-040,149224.86,CNY,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-07,ACCT-GB-034,16972.39,GBP,INVESTMENT - 2024-01,INVESTMENT
2024-01-07,ACCT-BR-022,1917239.33,BRL,INVESTMENT - 2024-01,INVESTMENT
2024-01-08,ACCT-JP-005,-72898670.66,JPY,SALARY - 2024-01,SALARY
2024-01-08,ACCT-SG-036,-23146.77,SGD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-08,ACCT-JP-005,-13067265.97,JPY,RENT - 2024-01,RENT
2024-01-08,ACCT-MX-029,-146928.75,MXN,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-08,ACCT-GB-033,-448518.61,GBP,SALARY - 2024-01,SALARY
2024-01-08,ACCT-US-006,281379.68,USD,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-08,ACCT-GB-034,39457.69,GBP,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-08,ACCT-JP-005,-98882234.26,JPY,SALARY - 2024-01,SALARY
2024-01-08,ACCT-IN-025,6838231.67,INR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-08,ACCT-US-007,-961264.25,USD,SALARY - 2024-01,SALARY
2024-01-08,ACCT-CN-042,489813.88,CNY,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-08,ACCT-CN-040,-180697.06,CNY,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-08,ACCT-US-012,169043.54,USD,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-08,ACCT-BR-022,1438274.07,BRL,INVESTMENT - 2024-01,INVESTMENT
2024-01-08,ACCT-BR-022,-652504.1,BRL,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-08,ACCT-AU-037,-263923.6,AUD,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-08,ACCT-BR-023,1658995.4,BRL,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-08,ACCT-IN-026,11665522.82,INR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-08,ACCT-DE-013,155311.6,EUR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-08,ACCT-MX-031,-4919901.35,MXN,SALARY - 2024-01,SALARY
2024-01-08,ACCT-US-012,-290201.25,USD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-09,ACCT-US-006,104473.37,USD,INVESTMENT - 2024-01,INVESTMENT
2024-01-09,ACCT-US-011,-113645.05,USD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-09,ACCT-JP-002,43869964.5,JPY,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-09,ACCT-BR-022,233586.17,BRL,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-09,ACCT-MX-030,-1737161.11,MXN,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-09,ACCT-DE-013,-45500.13,EUR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-09,ACCT-BR-021,-1650366.63,BRL,RENT - 2024-01,RENT
2024-01-09,ACCT-MX-031,-945372.77,MXN,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-09,ACCT-BR-023,-851502.87,BRL,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-09,ACCT-BR-022,-670656.05,BRL,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-09,ACCT-BR-019,1406046.31,BRL,INVESTMENT - 2024-01,INVESTMENT
2024-01-09,ACCT-GB-034,187708.15,GBP,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-09,ACCT-JP-002,6867592.64,JPY,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-09,ACCT-BR-022,1214934.09,BRL,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-09,ACCT-IN-028,2954723.16,INR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-09,ACCT-DE-013,395991.57,EUR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-09,ACCT-MX-030,-4947965.07,MXN,SALARY - 2024-01,SALARY
2024-01-09,ACCT-IN-027,-2653707.93,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-09,ACCT-JP-001,-28759390.11,JPY,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-09,ACCT-JP-002,-18970851.74,JPY,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-09,ACCT-CN-040,350973.18,CNY,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-09,ACCT-US-008,-148292.01,USD,TAX - 2024-01,TAX
2024-01-09,ACCT-BR-019,219608.56,BRL,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-09,ACCT-BR-022,-298167.71,BRL,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-09,ACCT-BR-019,-246299.45,BRL,TAX - 2024-01,TAX
2024-01-09,ACCT-CN-040,-461846.44,CNY,RENT - 2024-01,RENT
2024-01-09,ACCT-US-011,-369487.12,USD,SALARY - 2024-01,SALARY
2024-01-09,ACCT-IN-027,-2878501.47,INR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-09,ACCT-IN-028,-1350207.12,INR,OTHER - 2024-01,OTHER
2024-01-09,ACCT-JP-002,21387462.85,JPY,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-09,ACCT-IN-027,13800497.95,INR,INVESTMENT - 2024-01,INVESTMENT
2024-01-09,ACCT-JP-005,-36357249.78,JPY,TAX - 2024-01,TAX
2024-01-09,ACCT-AU-037,-217830.65,AUD,SALARY - 2024-01,SALARY
2024-01-10,ACCT-DE-017,-110913.99,EUR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-10,ACCT-BR-020,-1569491.97,BRL,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-10,ACCT-BR-023,-1183969.32,BRL,TAX - 2024-01,TAX
2024-01-10,ACCT-US-007,-214187.25,USD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-10,ACCT-IN-025,10035343.66,INR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-10,ACCT-AU-039,-223614.59,AUD,SALARY - 2024-01,SALARY
2024-01-10,ACCT-IN-025,-5250249.57,INR,OTHER - 2024-01,OTHER
2024-01-10,ACCT-US-012,-217526.81,USD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-10,ACCT-BR-023,1574426.91,BRL,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-10,ACCT-DE-013,-357216.18,EUR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-10,ACCT-IN-028,-9750661.95,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-10,ACCT-DE-016,49746.56,EUR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-10,ACCT-JP-002,-48269833.46,JPY,TAX - 2024-01,TAX
2024-01-10,ACCT-AU-039,-147984.33,AUD,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-10,ACCT-US-008,-440587.57,USD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-10,ACCT-CN-042,175690.62,CNY,INVESTMENT - 2024-01,INVESTMENT
2024-01-10,ACCT-MX-031,-2637558.07,MXN,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-10,ACCT-CN-040,-144761.1,CNY,OTHER - 2024-01,OTHER
2024-01-10,ACCT-GB-034,-414534.84,GBP,RENT - 2024-01,RENT
2024-01-10,ACCT-BR-020,-1241103.3,BRL,SALARY - 2024-01,SALARY
2024-01-10,ACCT-DE-018,-192510.96,EUR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-10,ACCT-DE-015,-70883.74,EUR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-10,ACCT-MX-029,-2736157.96,MXN,SALARY - 2024-01,SALARY
2024-01-10,ACCT-US-007,-430217.96,USD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-10,ACCT-IN-026,-18531473.25,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-10,ACCT-BR-022,687604.61,BRL,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-10,ACCT-DE-018,-27811.54,EUR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-10,ACCT-BR-022,-1109446.56,BRL,SALARY - 2024-01,SALARY
2024-01-10,ACCT-BR-021,-1904804.53,BRL,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-11,ACCT-IN-026,8381194.52,INR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-11,ACCT-IN-028,10818458.13,INR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-11,ACCT-DE-018,-276161.45,EUR,SALARY - 2024-01,SALARY
2024-01-11,ACCT-IN-028,10282928.92,INR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-11,ACCT-US-008,74965.27,USD,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-11,ACCT-US-012,151073.89,USD,INVESTMENT - 2024-01,INVESTMENT
2024-01-11,ACCT-IN-026,-2614186.99,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-11,ACCT-DE-016,91672.14,EUR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-11,ACCT-DE-015,25769.87,EUR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-11,ACCT-DE-015,260825.8,EUR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-11,ACCT-DE-018,-391609.76,EUR,TAX - 2024-01,TAX
2024-01-11,ACCT-AU-039,-239759.8,AUD,TAX - 2024-01,TAX
2024-01-11,ACCT-MX-031,-4085627.17,MXN,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-11,ACCT-JP-002,-94611848.04,JPY,SALARY - 2024-01,SALARY
2024-01-11,ACCT-AU-037,-439449.08,AUD,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-11,ACCT-IN-027,-1425225.76,INR,TAX - 2024-01,TAX
2024-01-11,ACCT-SG-035,-486943.52,SGD,TAX - 2024-01,TAX
2024-01-12,ACCT-BR-019,-636902.26,BRL,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-12,ACCT-US-008,-283037.33,USD,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-12,ACCT-DE-018,17292.46,EUR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-12,ACCT-IN-025,-13697586.63,INR,SALARY - 2024-01,SALARY
